Date,Open,High,Low,Settle,Volume,1,2,3,4,5
06-09-2012,1.307,1.31555,1.30651,1.31173,70439,0,0,0,0,0
07-09-2012,1.31172,1.32113,1.31008,1.31873,61591,0,0,0,0,0
09-09-2012,1.31874,1.31995,1.30682,1.30759,5212,0,0,0,0,0
10-09-2012,1.30646,1.30736,1.30398,1.30423,76147,0,0,0,0,0
11-09-2012,1.30425,1.31464,1.29935,1.31249,64342,0,0,0,0,0
12-09-2012,1.31248,1.31712,1.30891,1.31339,66938,0,0,0,0,0
13-09-2012,1.31338,1.31397,1.30565,1.31159,68704,0,0,0,0,0
14-09-2012,1.31158,1.31641,1.30682,1.31419,56997,0,0,0,0,0
16-09-2012,1.3142,1.32257,1.31274,1.3217,3873,0,0,0,0,0
17-09-2012,1.31828,1.32071,1.3182,1.32065,58168,0,0,0,0,0
18-09-2012,1.32064,1.32089,1.31032,1.31478,58181,0,0,0,0,0
19-09-2012,1.31477,1.32167,1.31438,1.31945,60922,0,0,0,0,0
20-09-2012,1.31944,1.3235,1.31723,1.32297,56986,0,0,0,0,0
21-09-2012,1.32295,1.32613,1.31756,1.31905,57322,0,0,0,0,0
23-09-2012,1.31903,1.32687,1.31561,1.32521,2588,0,0,0,0,0
24-09-2012,1.32354,1.32461,1.32352,1.32385,47946,0,0,0,0,0
25-09-2012,1.32386,1.32653,1.3207,1.32376,34374,0,0,0,0,0
26-09-2012,1.32377,1.32822,1.3203,1.32369,53913,0,0,0,0,0
27-09-2012,1.32368,1.32393,1.31211,1.31465,45563,0,0,0,0,0
28-09-2012,1.31463,1.31788,1.30942,1.3153,45122,0,0,0,0,0
30-09-2012,1.31531,1.3177,1.30791,1.30828,11608,0,0,0,0,0
01-10-2012,1.30119,1.30311,1.29539,1.296,62414,0,0,0,0,0
02-10-2012,1.29601,1.30641,1.29601,1.30569,68069,0,0,0,0,0
03-10-2012,1.30566,1.30586,1.29813,1.29913,78546,0,0,0,0,0
04-10-2012,1.29914,1.30024,1.29102,1.29331,62409,0,0,0,0,0
05-10-2012,1.29332,1.29778,1.29233,1.29319,58050,0,0,0,0,0
07-10-2012,1.29318,1.29561,1.29037,1.29158,6664,0,0,0,0,0
08-10-2012,1.2901,1.29029,1.28807,1.28961,64970,0,0,0,0,0
09-10-2012,1.28962,1.2903,1.28142,1.28294,63177,0,0,0,0,0
10-10-2012,1.28296,1.28675,1.27206,1.27336,74139,0,0,0,0,0
11-10-2012,1.27335,1.27575,1.268,1.27307,74368,0,0,0,0,0
12-10-2012,1.27309,1.27478,1.26656,1.26967,75339,0,0,0,0,0
14-10-2012,1.26969,1.27928,1.26409,1.27822,5575,0,0,0,0,0
15-10-2012,1.27634,1.27823,1.27473,1.27704,67386,0,0,0,0,0
16-10-2012,1.27705,1.28226,1.27239,1.28113,71428,0,0,0,0,0
17-10-2012,1.28111,1.28132,1.26506,1.26598,86423,0,0,0,0,0
