date,time,open,high,low,close,volume
2019-01-18,21:00:00,62.466,62.545,62.441,62.486,232
2019-01-18,21:15:00,62.481,62.556,62.476,62.536,152
2019-01-18,21:30:00,62.541,62.588,62.521,62.561,153
2019-01-18,21:45:00,62.556,62.586,62.459,62.486,127
2019-01-21,01:00:00,62.298,62.443,62.144,62.218,812
2019-01-21,01:15:00,62.213,62.298,62.154,62.298,529
2019-01-21,01:30:00,62.293,62.388,62.278,62.366,404
2019-01-21,01:45:00,62.371,62.383,62.286,62.299,381
2019-01-21,02:00:00,62.296,62.526,62.294,62.468,851
2019-01-21,02:15:00,62.463,62.583,62.443,62.548,320
2019-01-21,02:30:00,62.551,62.743,62.508,62.673,735
2019-01-21,02:45:00,62.668,62.83,62.663,62.723,473
2019-01-21,03:00:00,62.718,62.978,62.698,62.888,730
2019-01-21,03:15:00,62.883,62.938,62.778,62.794,417
2019-01-21,03:30:00,62.788,62.953,62.783,62.873,586
2019-01-21,03:45:00,62.878,62.893,62.819,62.853,270
2019-01-21,04:00:00,62.848,62.863,62.809,62.859,208
2019-01-21,04:15:00,62.856,62.861,62.809,62.829,151
2019-01-21,04:30:00,62.833,62.874,62.824,62.859,125
2019-01-21,04:45:00,62.856,62.859,62.824,62.834,93
2019-01-21,05:00:00,62.829,62.849,62.779,62.809,126
2019-01-21,05:15:00,62.805,62.814,62.784,62.809,79
2019-01-21,05:30:00,62.804,62.849,62.645,62.7,663
2019-01-21,05:45:00,62.704,62.734,62.655,62.695,262
2019-01-21,06:00:00,62.7,62.822,62.68,62.78,451
2019-01-21,06:15:00,62.785,62.835,62.767,62.8,270
2019-01-21,06:30:00,62.805,62.837,62.719,62.745,237
2019-01-21,06:45:00,62.742,62.765,62.645,62.645,367
2019-01-21,07:00:00,62.648,62.705,62.625,62.7,396
2019-01-21,07:15:00,62.695,62.735,62.66,62.735,152
2019-01-21,07:30:00,62.74,62.745,62.616,62.616,453
2019-01-21,07:45:00,62.62,62.665,62.506,62.511,555
2019-01-21,08:00:00,62.508,62.536,62.426,62.456,976
2019-01-21,08:15:00,62.452,62.516,62.231,62.291,1507
2019-01-21,08:30:00,62.294,62.386,62.227,62.376,972
2019-01-21,08:45:00,62.372,62.456,62.292,62.431,774
2019-01-21,09:00:00,62.426,62.466,62.197,62.302,1827
2019-01-21,09:15:00,62.307,62.367,62.272,62.347,791
2019-01-21,09:30:00,62.344,62.399,62.257,62.267,584
2019-01-21,09:45:00,62.262,62.327,62.222,62.257,523
2019-01-21,10:00:00,62.259,62.521,62.227,62.482,681
2019-01-21,10:15:00,62.487,62.584,62.447,62.557,775
2019-01-21,10:30:00,62.561,62.587,62.467,62.552,674
2019-01-21,10:45:00,62.547,62.547,62.427,62.447,545
2019-01-21,11:00:00,62.443,62.487,62.335,62.382,625
2019-01-21,11:15:00,62.385,62.512,62.367,62.487,517
2019-01-21,11:30:00,62.483,62.492,62.368,62.398,507
2019-01-21,11:45:00,62.393,62.463,62.368,62.408,468
2019-01-21,12:00:00,62.405,62.587,62.403,62.563,537
2019-01-21,12:15:00,62.56,62.69,62.538,62.647,858
2019-01-21,12:30:00,62.643,62.645,62.481,62.503,685
2019-01-21,12:45:00,62.5,62.618,62.493,62.533,658
2019-01-21,13:00:00,62.528,62.815,62.523,62.738,1379
2019-01-21,13:15:00,62.735,62.838,62.708,62.808,1019
2019-01-21,13:30:00,62.803,62.858,62.671,62.678,741
2019-01-21,13:45:00,62.673,62.828,62.653,62.828,681
2019-01-21,14:00:00,62.832,62.898,62.718,62.828,1303
2019-01-21,14:15:00,62.823,62.928,62.818,62.908,554
2019-01-21,14:30:00,62.903,62.943,62.758,62.798,907
2019-01-21,14:45:00,62.803,62.933,62.803,62.848,923
2019-01-21,15:00:00,62.846,63.038,62.788,62.838,1412
2019-01-21,15:15:00,62.843,62.928,62.661,62.903,1822
2019-01-21,15:30:00,62.906,62.991,62.786,62.829,1288
2019-01-21,15:45:00,62.826,62.894,62.764,62.804,1132
2019-01-21,16:00:00,62.809,62.889,62.769,62.789,1063
2019-01-21,16:15:00,62.784,62.859,62.415,62.42,2551
2019-01-21,16:30:00,62.425,62.569,62.3,62.549,1872
2019-01-21,16:45:00,62.552,62.609,62.51,62.585,938
2019-01-21,17:00:00,62.59,62.65,62.575,62.635,591
2019-01-21,17:15:00,62.64,62.729,62.617,62.7,886
2019-01-21,17:30:00,62.705,62.73,62.64,62.695,613
2019-01-21,17:45:00,62.692,62.735,62.61,62.685,1084
2019-01-21,18:00:00,62.682,62.705,62.54,62.575,234
2019-01-21,18:15:00,62.58,62.58,62.445,62.45,148
2019-01-21,18:30:00,62.457,62.53,62.455,62.515,103
2019-01-21,18:45:00,62.518,62.625,62.518,62.62,37
2019-01-21,19:00:00,62.623,62.7,62.62,62.695,45
2019-01-21,19:15:00,62.698,62.725,62.643,62.695,94
2019-01-21,19:30:00,62.698,62.715,62.698,62.71,23
2019-01-21,19:45:00,62.706,62.716,62.701,62.706,13
2019-01-21,20:00:00,62.703,62.731,62.693,62.721,29
2019-01-21,20:15:00,62.725,62.731,62.721,62.731,21
2019-01-21,20:30:00,62.726,62.731,62.711,62.721,28
2019-01-21,20:45:00,62.726,62.741,62.726,62.731,24
2019-01-21,21:00:00,62.731,62.731,62.706,62.706,6
2019-01-21,21:15:00,62.711,62.721,62.706,62.721,9
2019-01-21,21:30:00,62.716,62.736,62.701,62.736,48
2019-01-21,21:45:00,62.731,62.731,62.706,62.721,13
2019-01-21,22:00:00,62.711,62.711,62.701,62.701,2
2019-01-21,22:15:00,62.707,62.707,62.702,62.702,2
2019-01-21,22:30:00,62.702,62.712,62.702,62.712,3
2019-01-21,22:45:00,62.717,62.717,62.687,62.692,10
2019-01-22,01:00:00,62.463,62.598,62.418,62.528,636
2019-01-22,01:15:00,62.522,62.603,62.483,62.558,293
2019-01-22,01:30:00,62.561,62.578,62.483,62.518,259
2019-01-22,01:45:00,62.514,62.528,62.339,62.349,605
2019-01-22,02:00:00,62.353,62.429,62.277,62.429,730
2019-01-22,02:15:00,62.434,62.471,62.419,62.429,264
2019-01-22,02:30:00,62.426,62.426,62.154,62.164,778
2019-01-22,02:45:00,62.159,62.224,62.055,62.1,821
